Viite;Toteutusmaa;Kohderyhmä;Julkaisumuoto;Johdanto_1;Johdanto_2;Johdanto_3;Johdanto_4;Osallistujat_1;Osallistujat_2;Osallistujat_3;Data_1;Data_2;Data_3;Data_4;Data_5;Data_6;Data_7;Data_8;Data_9;Data_10;Etiikka_1;Etiikka_2;Etiikka_3
Annala & Moilanen 2013;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Epävarma;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;NA;Ei
Bambi ym. 2014;Italia;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Epävarma;Ei;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;NA;Kyllä
Bernaldo-De-Quirós ym. 2014;Espanja;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;NA;Kyllä
Blaževičienė ym. 2016;Liettua;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Epävarma;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Kyllä;NA;Epävarma
Braun ym. 2021;Saksa;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Epävarma;NA;Kyllä
Çalıkoglu ym. 2018;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;NA;Kyllä
Çelebi & Gökkaya 2023;Turkki;Pelastusala;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Epävarma;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Kyllä
Coskun Cenk 2019;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Kyllä
Deniz ym. 2016;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Epävarma;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Epävarma;Kyllä;Kyllä;Epävarma;NA;Ei
Eskelinen ym. 2017;Suomi;Pelastusala;Organisaatioraportti;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Epävarma;Ei;NA;Kyllä
Gümüşsoy ym. 2021;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;NA;Kyllä
Halmesmäki ym. 2022;Suomi;Ensihoito;Opinnäyte;Kyllä;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Ei
