Aihealue;Nimi;Alkuperäinen lähde;Käyttävä lähde
Epäasiallinen kohtelu;Asiakkaan aggressio;Virtanen ym. 2011;Pekurinen ym. 2017
Epäasiallinen kohtelu;Attitudes towards Violence against Women Scale;Gömbül 2000;Gümüşsoy ym. 2021
Epäasiallinen kohtelu;Cuestionairo sobre Agresiones en el Medio Sanitario;Martínez-Jarreta ym. 2007;Bernaldo-de-Quirós ym. 2015
Epäasiallinen kohtelu;Lateral Hostility;Alspach 2008;Bambi ym. 2014
Epäasiallinen kohtelu;Prevention Strategies;Kessler ym. 2008;van Reemst & Fischer 2019
Epäasiallinen kohtelu;Risk for Violence Measure;LeBlanc & Kelloway 2002;van Reemst & Jongerling 2021
Epäasiallinen kohtelu;Staff Observation Aggression Scale -- Revised Emergency;Morken ym. 2018;Johnsen ym. 2020, Schablon ym. 2022
Epäasiallinen kohtelu;Exposure to Workplace Aggression;Dupré ym. 2014;van Reemst & Jongerling 2021
Epäasiallinen kohtelu;Työpaikkaväkivallan kuusi eri kategoriaa;Boyle ym. 2007;Jäntti & Nordquist 2022
Epäasiallinen kohtelu;Victim Incivility Scale;Sliter & Boyd 2015;Sommovigo & Setti 2022
Epäasiallinen kohtelu;Violence and Aggression in the Health Services;Mullan & Badger 2007;Shkatula ym. 2019
Epäasiallinen kohtelu;Workplace Violence in the Health Sector Country Case Study Questionnaire;International Labour Office ym. 2003;Hamzaoglu & Türk 2019, Maguire ym. 2018a, Maguire ym. 2018b
Organisaatiotoiminta;Health Staff's Recognition of Signs of Violence against Women Scale;Gömbül 2000 (viite epävarma);Gümüşsoy ym. 2021
Organisaatiotoiminta;Henkilökohtainen tuki 1;Senior & Swailes 2015;Eskelinen ym. 2017
Organisaatiotoiminta;Henkilökohtainen tuki 2;Näswall ym. 2010;Eskelinen ym. 2017
Organisaatiotoiminta;Organisaatioluottamus;Champ 2007;Eskelinen ym. 2017
Organisaatiotoiminta;Organisaation tuki 1;Eisenberger ym. 1986;Eskelinen ym. 2017
Organisaatiotoiminta;Organisaation tuki 2;Hogan & Coote 2014;Eskelinen ym. 2017
Organisaatiotoiminta;Questionnaire on the Experience and Evaluation of Work;van Veldhoven ym. 1997;van der Velden ym. 2016
Organisaatiotoiminta;Sitoutuminen organisaatiotoimintaan;Saks 2006;Eskelinen ym. 2017
Organisaatiotoiminta;Tyytyväisyys organisaatiotoimintaan;Cammann ym. 1983;Eskelinen ym. 2017
Organisaatiotoiminta;Työntekijöiden muutosresilienssi;Näswall ym. 2015;Eskelinen ym. 2017
Organisaatiotoiminta;Vapaaehtoistyön jatkoaikeet;Pearce 1983;Eskelinen ym. 2017
Terveys;Acute Stress List;van der Velden & Herpers 1994;van der Velden ym. 2016
Terveys;Beck Anxiety Inventory;Beck ym. 1988;Çelebi & Gökkaya 2023
Terveys;Beck Depression Inventory;Beck ym. 2010;Çelebi & Gökkaya 2023 (versiosta epävarmuutta)
Terveys;Copenhagen Burnout Inventory;Kristensen ym. 2005;Schablon ym. 2022
Terveys;Copenhagen Psychosocial Questionnaire;Kristensen & Borg 2003;Schablon ym. 2022
Terveys;Dutch UCL;Schreurs 1992;van der Velden ym. 2016
Terveys;EMS Critical Incident Stress;Donnelly & Bennett 2014;Nordquist 2023
Terveys;General Health Questionnaire;Goldberg 1978;Pekurinen ym. 2017 (12-versio), Bernaldo-de-Quirós ym. 2015 (28-versio), Sommovigo & Setti (12-versio)
Terveys;Hamburg Burnout Inventory;Burisch 1984, Burisch 2017;Braun ym. 2021
Terveys;International Personality Item Pool;Goldberg 1999;van der Velden ym. 2016
Terveys;Jenkins Sleep Scale;Jenkins ym. 1988;Pekurinen ym. 2017
Terveys;Kuormituksesta palautuminen;Kinnunen & Mauno 2009;Nordquist 2023
Terveys;Maslach Burnout Inventory;Maslach & Jackson 1981;Bernaldo-de-Quirós ym. 2015, Coskun Cenk 2019, Deniz ym. 2016, Sommovigo & Setti 2022
Terveys;RAND-36;Aaronson ym. 1998;van der Velden ym. 2016
Terveys;RS-13 Resilience Questionnaire;Leppert ym. 2008;Schablon ym. 2022
Terveys;Symptom Checklist 90-R;Derogatis 1977;van der Velden ym. 2016
Terveys;Terveyden itsearviointi;Idler ym. 2000;Pekurinen ym. 2017
Terveys;Työkykyindeksi (Work Ability Index);Tuomi ym. 1997/2006 -- Ilmarinen ym. 1997;Nordquist 2023, Pekurinen ym. 2017, Schablon ym. 2022
Terveys;WHO-Five Well-Being Index;Staehr Johansen 1998 (viite epävarma);Schablon ym. 2022
