Haku;Tekijät;Vuosi;Otsikko;Muoto;Linkki;Tiedonkeruun muoto;Tutkimusasetelma;Huomioita tiedonkeruun muodoista;Muiden kehittämät kysymysmittarit;Toteutusmaa;Kohderyhmä;Kohdepopulaatio;Keräysajankohta;Otoskoko;Otantamenetelmä;Yhteydenottotapa;Vastausmuistutusten määrä
4;Annala & Moilanen 2013;2013;Ensihoitohenkilöstöön kohdistuva väkivalta työtehtävissä. Kyselytutkimus PSSHP:n Ensihoitokeskuksen työntekijöille;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-201305087122;Kysely;Määrällinen;Webropol;0;Suomi;Ensihoito;Pohjois-Savon ensihoito;2/2013-3/2013;78;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;1
6;Bambi ym. 2014;2014;Lateral Hostilities Among Nurses Employed in Intensive Care Units, Emergency Departments, Operating Rooms, and Emergency Medical Services: A National Survey in Italy;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1097/DCC.0000000000000077;Kysely;Määrällinen;;1;Italia;Ensihoito;Italialaiset sairaanhoitajat;11/2011-3/2012;1202;Harkinnanvarainen otanta (convenience sample);Muun organisaation kautta (esim. liitto);Ei tietoa
6;Bernaldo-De-Quirós ym. 2014;2014;Psychological Consequences of Aggressions in Pre-hospital Emergency Care: Differences According to Type and Frequency of Violence;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1016/j.ijnurstu.2014.05.011;Kysely;Määrällinen;;1;Espanja;Ensihoito;Espanjalaiset terveysalan ammattilaiset;2/2012-5/2012;441;Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);Ei tietoa
6;Blaževičienė ym. 2016;2016;Organisational Factors Influencing Job Performance of Ambulance Health Care Professionals: Cross-Sectional Survey in Lithuania;Vertaisarvioitu tutkimusartikkeli;https://lsmu.lt/cris/entities/publication/0a5a7002-5fe4-421d-87ca-5a6f7bf3ca43/details;Kysely;Määrällinen;;0;Liettua;Ensihoito;Liettualaiset terveysalan ambulanssityöntekijät;2012;245;Harkinnanvarainen otanta (convenience sample);Muu;Ei tietoa
6;Braun ym. 2021;2021;Association between the experience of violence and burnout among paramedics;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1007/s00420-021-01693-z;Kysely;Määrällinen;;1;Saksa;Ensihoito;Saksalaiset ensihoitajat;9/2014-1/2015;358;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;Ei tietoa
6;Çalıkoglu ym. 2018;2018;Sexism, attitudes, and behaviors towards violence against women in medical emergency services workers in Erzurum, Turkey;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1080/16549716.2018.1524541;Kysely;Määrällinen;;0;Turkki;Ensihoito;Turkkilaiset terveysalan ensihoitohenkilökunta;2016;370;Harkinnanvarainen otanta (convenience sample);Postitse;1
6;Çelebi & Gökkaya 2023;2023;Prevalence of anxiety and depression and associated factors among firefighters: a cross-sectional study in Turkey;Vertaisarvioitu tutkimusartikkeli;https://dx.doi.org/10.4314/rmj.v80i3.1;Kysely;Määrällinen;Toteutettu haastatteluna, kolme kierrosta per asema;1;Turkki;Pelastusala;Turkkilaiset pelastajat;4/2022-6/2022;249;Harkinnanvarainen otanta (convenience sample);Muu;3
6;Coskun Cenk 2019;2019;An analysis of the exposure to violence and burnout levels of ambulance staf;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1016/j.tjem.2018.09.002;Kysely;Määrällinen;;1;Turkki;Ensihoito;Turkkilaiset ambulanssityöntekijät;4/2017-6/2017;143;Harkinnanvarainen otanta (convenience sample);Sähköpostitse;Ei tietoa
6;Credland ym. 2021;2021;Incidence and impact of incivility in paramedicine: a qualitative study;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1136/emermed-2020-209961;Haastattelu;Laadullinen;Semistrukturoitu;0;Englanti;Ensihoito;Englantilaiset ensihoitajat;6/2019-12/2019;14;Muu;Muu;Ei tietoa
6;Deniz ym. 2016;2016;Effect of exposure to violence on the development of burnoutsyndrome in ambulance staff;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.3906/sag-1406-53;Kysely;Määrällinen;;1;Turkki;Ensihoito;Turkkilaiset ambulanssityöntekijät;5/2013;120;Harkinnanvarainen otanta (convenience sample);;Ei tietoa
3;Ericsson ym. 2022;2022;Paramedics’ perceptions of job demands and resources in Finnish emergency medical services: a qualitative study;Vertaisarvioitu tutkimusartikkeli;http://dx.doi.org/10.1186/s12913-022-08856-9;Kysely;Laadullinen;Laadullinen asetelma;0;Suomi;Ensihoito;Suomalaiset ensihoitajat;2018-2019;338/34;Harkinnanvarainen otanta (convenience sample);Sosiaalisen verkoston kautta (esim. kollegat);0
1;Eskelinen ym. 2017;2017;Miksi palokuntatoiminta hiipuu tai viriää?;Organisaatioraportti;https://issuu.com/spek_ry/docs/spek_tutkii_15;Kysely, haastattelu;Monimenetelmällinen;Kysely ja haastattelu;1;Suomi;Pelastusala;Suomen palokuntalaiset ja yhdistykset;Ei tietoa;57;Harkinnanvarainen otanta (convenience sample);Muu;Ei tietoa
6;Gümüşsoy ym. 2021;2021;Relationship of knowledge about and attitudes towards violence with recognition of violence against women among health staff in pre-hospital emergency medical services;Vertaisarvioitu tutkimusartikkeli;https://doi.org/10.1016/j.ienj.2021.100975;Kysely;Määrällinen;;1;Turkki;Ensihoito;Turkkilaiset ensihoitajat;4/2019-12/2019;1023;Satunnaistettu otanta (random sample);Sähköpostitse;Ei tietoa
4;Halmesmäki ym. 2022;2022;Auttaja uhrina - työssä koetun väkivallan jälkeinen tuki ensihenkilöiden ja ensihoitajien näkökulmasta. Miten organisaatiot tukevat työntekijän rikosoikeudellista, terveydellistä sekä psykososiaalista toipumista työssä koetun väkivallan jälkeen?;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-202303063058;Kysely, haastattelu;Monimenetelmällinen;Teemahaastattelu ja kysely;0;Suomi;Ensihoito;Ensihoito;2022;"5;129";Harkinnanvarainen otanta (convenience sample);Sähköpostitse;0
6;Hamzaoglu & Türk 2019;2019;Prevalence of Physical and Verbal Violence Against Health Care Workers in Turkey;Vertaisarvioitu tutkimusartikkeli;http://dx.doi.org/10.1177/0020731419859828;Kysely;Määrällinen;;1;Turkki;Ensihoito;Turkkilaiset terveysalan ammattilaiset;7/2017-10/2017;447;Muu;Sähköpostitse;Ei tietoa
4;Heikkinen 2023;2023;Ensihoitajien kokemuksia uhka- ja väkivaltatilanteista;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2023051610997;Kysely;Määrällinen;E-lomake;1;Suomi;Ensihoito;Pohjois-Savon ensihoito;12/2022;44;Kiintiöotanta (quota sample);Organisaatiojohdon kautta;0
4;Heikkinen ym. 2021;2021;Ensihoitajien työssään kohtaama seksuaalinen häirintä;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2021053112680;Kysely;Määrällinen;Webropol;1;Suomi;Ensihoito;Sairaanhoitopiirin ensihoito;11/2020-12/2020;23;Harkinnanvarainen otanta (convenience sample);Organisaatiojohdon kautta;0
4;Helin 2013;2013;Uhka- ja väkivaltatilanteet sairaalan ulkopuolisessa ensihoidossa - Varsinais-Suomen pelastuslaitosten ensihoitohenkilöstön kokemuksia;Opinnäyte;https://urn.fi/URN:NBN:fi:amk-2013092515536;Kysely;Määrällinen;;0;Suomi;Ensihoito;Varsinais-Suomen ensihoito;5/2012;78;Harkinnanvarainen otanta (convenience sample);Organisaatiojohdon kautta;0
