Viite;Toteutusmaa;Kohderyhmä;Muoto;Score;Otsikko;Abstrakti;Johdanto_1;Johdanto_2;Metodi_1;Metodi_2;Metodi_3;Metodi_4;Metodi_5;Metodi_6;Metodi_7;Metodi_8;Metodi_9;Metodi_10;Metodi_11;Tulokset_1;Tulokset_2;Keskustelu_1;Keskustelu_2;Muu_1;Muu_2
Credland ym. 2021;Englanti;Ensihoito;Vertaisarvioitu tutkimusartikkeli;67;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Epävarma;Epävarma;Ei;Kyllä;Epävarma;Kyllä;Epävarma;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä
Ericsson ym. 2022;Suomi;Ensihoito;Vertaisarvioitu tutkimusartikkeli;43;Kyllä;Epävarma;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Ei;Kyllä;Epävarma;Kyllä;Kyllä;Ei;Kyllä
Eskelinen ym. 2017;Suomi;Pelastusala;Organisaatioraportti;43;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Epävarma;Kyllä;Epävarma;Epävarma;Ei;Epävarma;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Ei;Kyllä
Halmesmäki ym. 2022;Suomi;Ensihoito;Opinnäyte;37;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Ei;Kyllä;Ei;Ei;Ei;Epävarma;Kyllä;Epävarma;Epävarma;Ei;Kyllä;Kyllä;Epävarma;Ei;NA;NA
Inha ym. 2018;Suomi;Ensihoito;Opinnäyte;37;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Ei;Kyllä;Ei;Kyllä;Epävarma;Epävarma;Kyllä;Epävarma;Epävarma;Epävarma;Kyllä;Epävarma;Epävarma;Ei;NA;NA
Jansson 2016;Ruotsi;Pelastusala;Kirjan luku;38;Ei;Ei;Kyllä;Kyllä;Epävarma;Ei;Kyllä;Kyllä;Ei;Epävarma;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei
Knor ym. 2020;Tsekki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;57;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Epävarma;Epävarma;Kyllä;Epävarma;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei
Kononen ym. 2014;Suomi;Ensihoito;Opinnäyte;53;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Ei;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;Epävarma;Epävarma;Ei;NA;NA
Köykkä 2016;Suomi;Ensihoito;Opinnäyte;53;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Epävarma;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Ei;NA;NA
Leppänen 2016;Suomi;Ensihoito;Opinnäyte;79;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Ei;NA;NA
Maguire ym. 2018b;NA;Ensihoito;Vertaisarvioitu tutkimusartikkeli;90;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä
Miettinen ym. 2022;Suomi;Ensihoito;Opinnäyte;58;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Epävarma;Ei;NA;NA
Paavonen 2023;Suomi;Ensihoito;Opinnäyte;68;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei;NA;NA
Saari 2013;Suomi;Pelastusala;Opinnäyte;74;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;NA;NA
Sjöström & Salminen 2023;Suomi;Ensihoito;Opinnäyte;84;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;NA;NA
Stendahl ym. 2023;Ruotsi;Ensihoito;Vertaisarvioitu tutkimusartikkeli;90;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä
Viking ym. 2022;Ruotsi;Ensihoito;Vertaisarvioitu tutkimusartikkeli;90;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä
