Viite;Toteutusmaa;Kohderyhmä;Julkaisumuoto;Score;Johdanto;Osallistujat;Data;Etiikka;Johdanto_1;Johdanto_2;Johdanto_3;Johdanto_4;Osallistujat_1;Osallistujat_2;Osallistujat_3;Data_1;Data_2;Data_3;Data_4;Data_5;Data_6;Data_7;Data_8;Data_9;Data_10;Etiikka_1;Etiikka_2;Etiikka_3
Annala & Moilanen 2013;Suomi;Ensihoito;Opinnäyte;52,63157895;75;33,33333333;60;0;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Epävarma;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;NA;Ei
Bambi ym. 2014;Italia;Ensihoito;Tutkimusartikkeli;52,63157895;50;33,33333333;60;33,33333333;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Epävarma;Ei;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;NA;Kyllä
Bernaldo-De-Quirós ym. 2014;Espanja;Ensihoito;Tutkimusartikkeli;73,68421053;75;100;60;66,66666667;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;NA;Kyllä
Blaževičienė ym. 2016;Liettua;Ensihoito;Tutkimusartikkeli;15,78947368;25;33,33333333;0;33,33333333;Epävarma;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Kyllä;NA;Epävarma
Braun ym. 2021;Saksa;Ensihoito;Tutkimusartikkeli;42,10526316;50;66,66666667;30;33,33333333;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Epävarma;NA;Kyllä
Çalıkoglu ym. 2018;Turkki;Ensihoito;Tutkimusartikkeli;68,42105263;100;66,66666667;50;66,66666667;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;NA;Kyllä
Çelebi & Gökkaya 2023;Turkki;Pelastusala;Tutkimusartikkeli;68,42105263;75;100;50;66,66666667;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Epävarma;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Kyllä
Coskun Cenk 2019;Turkki;Ensihoito;Tutkimusartikkeli;68,42105263;75;66,66666667;60;66,66666667;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Kyllä
Deniz ym. 2016;Turkki;Ensihoito;Tutkimusartikkeli;21,05263158;50;0;20;0;Kyllä;Epävarma;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Epävarma;Kyllä;Kyllä;Epävarma;NA;Ei
Eskelinen ym. 2017;Suomi;Pelastusala;Organisaatioraportti;47,36842105;50;100;30;33,33333333;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Epävarma;Ei;NA;Kyllä
Gümüşsoy ym. 2021;Turkki;Ensihoito;Tutkimusartikkeli;68,42105263;75;100;50;66,66666667;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;NA;Kyllä
Halmesmäki ym. 2022;Suomi;Ensihoito;Opinnäyte;42,10526316;50;33,33333333;40;33,33333333;Kyllä;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Ei
Hamzaoglu & Türk 2019;Turkki;Ensihoito;Tutkimusartikkeli;63,15789474;50;100;60;33,33333333;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;NA;Kyllä
Heikkinen 2023;Suomi;Ensihoito;Opinnäyte;63,15789474;75;66,66666667;50;66,66666667;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Epävarma;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Kyllä
Heikkinen ym. 2021;Suomi;Ensihoito;Opinnäyte;63,15789474;75;100;50;33,33333333;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Epävarma;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;NA;Ei
Helin 2013;Suomi;Ensihoito;Opinnäyte;42,10526316;75;66,66666667;20;33,33333333;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei;Epävarma;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;NA;Ei
Hertteli 2015;Suomi;Ensihoito;Opinnäyte;36,84210526;50;0;50;0;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Epävarma;NA;Ei
Huotari 2019;Suomi;Poliisi;Organisaatioraportti;36,84210526;50;66,66666667;30;0;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Epävarma;Kyllä;Epävarma;Epävarma;NA;Ei
Huttunen & Rinkinen 2019;Suomi;Pelastusala;Opinnäyte;47,36842105;50;33,33333333;50;33,33333333;Kyllä;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Ei
Immonen & Liuski 2019;Suomi;Ensihoito;Opinnäyte;57,89473684;75;66,66666667;50;33,33333333;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Epävarma
Johnsen ym. 2020;Norja;Ensihoito;Tutkimusartikkeli;68,42105263;75;33,33333333;70;66,66666667;Kyllä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Kyllä
Jäntti & Nordquist 2022;Suomi;Ensihoito;Tutkimusartikkeli;36,84210526;75;66,66666667;20;0;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Epävarma;Kyllä;Ei;Epävarma;NA;Ei
Kettunen 2022;Suomi;Pelastusala;Opinnäyte;47,36842105;100;66,66666667;30;0;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Ei;Ei;Epävarma;Ei;Ei;Kyllä;Kyllä;Epävarma;Kyllä;Ei;Epävarma;NA;Ei
Kiviniemi ym. 2021;Suomi;Ensihoito;Opinnäyte;47,36842105;50;66,66666667;40;33,33333333;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Epävarma;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;NA;Ei
Klosiewicz ym. 2019;Puola;Ensihoito;Tutkimusartikkeli;21,05263158;75;0;10;0;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Epävarma;NA;Ei
Koivunen ym. 2018;Suomi;Poliisi;Tutkimusartikkeli;36,84210526;75;66,66666667;20;0;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Epävarma;Kyllä;Kyllä;Epävarma;NA;Ei
Kowalczuk ym. 2017;Puola;Ensihoito;Tutkimusartikkeli;31,57894737;75;0;20;33,33333333;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Epävarma;Kyllä;NA;Ei
Leino ym. 2011a;Suomi;Poliisi;Tutkimusartikkeli;31,57894737;100;0;20;0;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Epävarma;Ei;Kyllä;Epävarma;NA;Ei
Leino ym. 2011b;Suomi;"Poliisi; Järjestyksenvalvojat";Tutkimusartikkeli;47,36842105;75;66,66666667;30;33,33333333;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Epävarma;Epävarma;Kyllä;Ei;Ei;Ei;Epävarma;Epävarma;Kyllä;Kyllä;Epävarma;NA;Kyllä
Leino ym. 2011c;Suomi;Järjestyksenvalvojat;Tutkimusartikkeli;36,84210526;50;66,66666667;20;33,33333333;Kyllä;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Epävarma;Epävarma;NA;Kyllä
Leino ym. 2011d;Suomi;Poliisi;Tutkimusartikkeli;36,84210526;75;66,66666667;20;0;Kyllä;Epävarma;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Epävarma;Ei;Kyllä;Ei;Epävarma;NA;Ei
Leppänen & Ritala 2022;Suomi;Ensihoito;Opinnäyte;31,57894737;75;66,66666667;10;0;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Epävarma;Ei;Ei;Epävarma;NA;Ei
Leppänen 2017;Suomi;Ensihoito;Opinnäyte;36,84210526;75;33,33333333;30;0;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Epävarma;Kyllä;Ei;Epävarma;Ei;NA;Ei
